wbgene,gene_name,gene_id,concise_description,automated_description,gene_class_description,go_term,go_name,go_description,inside_CI,eqtl,vars,pc_vars,go_annotation
WBGene00000016,abf-5,T22H6.5,The abf-5 gene encodes a homolog of the antibacterial factor  ASABF from Ascaris suum. ,Is enriched in FLP based on microarray studies. Is affected  by several genes including daf-16; daf-2; and skn-1 based on microarray; tiling  array; and RNA-seq studies. Is affected by nine chemicals including allantoin; Sirolimus;  and Psoralens based on RNA-seq and microarray studies. ,AntiBacterial Factor related ,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000017,abf-6,T22H6.7,"abf-6 encodes a homolog of the antibacterial factor ASABF from  Ascaris suum; ABF-6 may play a role in innate immunity, though at present the only  evidence for its having an antimicrobial humoral function is its sequence similarity. ",Is affected by several genes including daf-16; daf-2; and  eat-2 based on RNA-seq and microarray studies. Is affected by eight chemicals including  Rotenone; multi-walled carbon nanotube; and Cry5B based on RNA-seq and microarray  studies. ,AntiBacterial Factor related ,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0004222,metalloendopeptidase activity,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0005576,extracellular region,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0006508,proteolysis,The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0008233,peptidase activity,Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0008237,metallopeptidase activity,"Catalysis of the hydrolysis of peptide bonds by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0016787,hydrolase activity,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000082,adt-1,C02B4.1a,The adt-1 gene encodes a metalloproteinase with disintegrin-like  and metalloproteinase with thrombospondin type I motifs (ADAMTS) that is required  for male tail morphogenesis. ,"Is an ortholog of human ADAMTS6 (ADAM metallopeptidase with  thrombospondin type 1 motif 6). Is predicted to have metal ion binding activity  and metalloendopeptidase activity. Is expressed in several structures, including  amphid neurons; body wall musculature; pharyngeal muscle cell; ventral nerve cord;  and vulva. ",ADAMTS family ,GO:0046872,metal ion binding,Interacting selectively and non-covalently with any metal ion.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000116,alh-10,C54D1.4,none available ,"Is an ortholog of human ALDH8A1 (aldehyde dehydrogenase 8  family member A1). Is predicted to have oxidoreductase activity, acting on the aldehyde  or oxo group of donors, NAD or NADP as acceptor. ",ALdehyde deHydrogenase ,GO:0016491,oxidoreductase activity,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",FALSE,TRUE,FALSE,FALSE,NA
